RX Date/Time,Voltage(field 1)
2023/07/18/ 10:23:42::156,54810,2.95
2023/07/18/ 10:23:42::181,54836,2.68
2023/07/18/ 10:23:42::210,54861,2.37
2023/07/18/ 10:23:42::233,54887,2.62
2023/07/18/ 10:23:42::262,54913,2.53
2023/07/18/ 10:23:42::290,54938,2.46
2023/07/18/ 10:23:42::314,54964,2.74
2023/07/18/ 10:23:42::337,54989,2.63
2023/07/18/ 10:23:42::369,55015,2.57
2023/07/18/ 10:23:42::392,55041,2.30
2023/07/18/ 10:23:42::417,55066,2.82
2023/07/18/ 10:23:42::441,55092,2.69
2023/07/18/ 10:23:42::477,55118,2.59
2023/07/18/ 10:23:42::493,55144,2.63
2023/07/18/ 10:23:42::517,55170,2.56
2023/07/18/ 10:23:42::543,55195,2.42
2023/07/18/ 10:23:42::585,55221,2.65
2023/07/18/ 10:23:42::597,55246,2.40
2023/07/18/ 10:23:42::621,55272,2.68
2023/07/18/ 10:23:42::645,55298,2.77
2023/07/18/ 10:23:42::669,55323,2.32
2023/07/18/ 10:23:42::699,55349,2.80
2023/07/18/ 10:23:42::724,55374,2.91
2023/07/18/ 10:23:42::747,55400,2.54
2023/07/18/ 10:23:42::775,55427,2.53
2023/07/18/ 10:23:42::805,55452,2.58
2023/07/18/ 10:23:42::823,55478,2.57
2023/07/18/ 10:23:42::851,55503,2.67
2023/07/18/ 10:23:42::878,55529,2.40
2023/07/18/ 10:23:42::910,55555,2.62
2023/07/18/ 10:23:42::928,55580,2.56
2023/07/18/ 10:23:42::953,55606,2.57
2023/07/18/ 10:23:42::979,55631,2.50
2023/07/18/ 10:23:43::020,55657,2.86
2023/07/18/ 10:23:43::032,55683,2.56
2023/07/18/ 10:23:43::056,55708,2.52
2023/07/18/ 10:23:43::083,55734,2.77
2023/07/18/ 10:23:43::107,55760,2.80
2023/07/18/ 10:23:43::134,55786,2.55
2023/07/18/ 10:23:43::155,55812,2.57
2023/07/18/ 10:23:43::186,55837,2.64
2023/07/18/ 10:23:43::210,55863,2.57
2023/07/18/ 10:23:43::242,55888,2.75
2023/07/18/ 10:23:43::264,55914,2.25
2023/07/18/ 10:23:43::289,55940,2.72
2023/07/18/ 10:23:43::313,55965,2.61
2023/07/18/ 10:23:43::365,55991,2.90
2023/07/18/ 10:23:43::372,56016,2.59
2023/07/18/ 10:23:43::391,56042,2.51
2023/07/18/ 10:23:43::415,56069,2.48
2023/07/18/ 10:23:43::440,56094,2.95
2023/07/18/ 10:23:43::473,56120,2.77
2023/07/18/ 10:23:43::492,56145,2.00
2023/07/18/ 10:23:43::517,56171,2.48
2023/07/18/ 10:23:43::540,56197,2.70
2023/07/18/ 10:23:43::574,56222,2.55
2023/07/18/ 10:23:43::597,56248,2.64
2023/07/18/ 10:23:43::620,56273,2.17
2023/07/18/ 10:23:43::648,56299,2.57
2023/07/18/ 10:23:43::686,56325,2.50
2023/07/18/ 10:23:43::698,56350,2.94
2023/07/18/ 10:23:43::725,56377,2.35
2023/07/18/ 10:23:43::751,56402,2.42
2023/07/18/ 10:23:43::802,56428,2.90
2023/07/18/ 10:23:43::802,56454,2.39
2023/07/18/ 10:23:43::826,56479,2.81
2023/07/18/ 10:23:43::855,56505,2.61
2023/07/18/ 10:23:43::892,56530,1.99
2023/07/18/ 10:23:43::903,56556,2.48
2023/07/18/ 10:23:43::928,56582,2.02
2023/07/18/ 10:23:43::956,56607,2.90
2023/07/18/ 10:23:43::982,56633,3.03
2023/07/18/ 10:23:44::013,56658,2.39
2023/07/18/ 10:23:44::033,56684,2.53
2023/07/18/ 10:23:44::059,56711,2.39
2023/07/18/ 10:23:44::084,56736,2.46
2023/07/18/ 10:23:44::116,56762,2.83
2023/07/18/ 10:23:44::135,56787,2.48
2023/07/18/ 10:23:44::162,56813,2.59
2023/07/18/ 10:23:44::186,56839,2.71
2023/07/18/ 10:23:44::223,56864,2.58
2023/07/18/ 10:23:44::239,56890,2.52
2023/07/18/ 10:23:44::263,56915,2.76
2023/07/18/ 10:23:44::287,56941,3.04
2023/07/18/ 10:23:44::311,56967,2.77
2023/07/18/ 10:23:44::342,56992,2.45
2023/07/18/ 10:23:44::364,57018,2.35
2023/07/18/ 10:23:44::390,57044,2.17
2023/07/18/ 10:23:44::415,57070,2.54
2023/07/18/ 10:23:44::448,57096,2.97
2023/07/18/ 10:23:44::469,57121,2.63
2023/07/18/ 10:23:44::491,57147,2.73
2023/07/18/ 10:23:44::516,57172,2.39
2023/07/18/ 10:23:44::556,57198,2.43
2023/07/18/ 10:23:44::569,57224,2.02
2023/07/18/ 10:23:44::593,57249,2.35
2023/07/18/ 10:23:44::625,57275,2.73
2023/07/18/ 10:23:44::658,57300,2.54
2023/07/18/ 10:23:44::682,57326,2.64
2023/07/18/ 10:23:44::698,57353,2.45
2023/07/18/ 10:23:44::730,57378,2.61
2023/07/18/ 10:23:44::773,57404,2.56
2023/07/18/ 10:23:44::779,57430,2.52
2023/07/18/ 10:23:44::801,57455,2.71
2023/07/18/ 10:23:44::828,57481,2.77
2023/07/18/ 10:23:44::855,57506,2.39
2023/07/18/ 10:23:44::883,57532,2.51
2023/07/18/ 10:23:44::902,57558,2.74
2023/07/18/ 10:23:44::931,57583,2.49
2023/07/18/ 10:23:44::957,57609,2.58
2023/07/18/ 10:23:44::993,57634,2.11
2023/07/18/ 10:23:45::009,57660,2.88
2023/07/18/ 10:23:45::033,57687,2.66
2023/07/18/ 10:23:45::058,57712,2.54
2023/07/18/ 10:23:45::095,57738,2.88
